raw_name,normalized_for_embedding,normalized_for_analysis,count
RETAINS.VERTICAL_DIRECTION,retains vertical direction,retains vertical direction,1
RETAINS_GERMINATIVE_CAPACITY_FOR,retains germinative capacity for,retains germinative capacity for,1
RETRANSPLANTATION_DONE_ON,retransplantation done on,retransplantation done on,1
RIPENS_SEED_IN,ripens seed in,ripens seed in,1
RIPE_FROM,ripe from,ripe from,1
RISEN_DURING,risen during,risen during,1
RISES_IN,rises in,rises in,1
SAME_AS_TYPE,same as type,same as type,1
SAME_AS_VARIETY,same as variety,same as variety,1
SAME_SPECIES_AS,same species as,same species as,3
SCHEDULED_FOR,scheduled for,scheduled for,1
SEASONAL_ASSOCIATION_WITH_CROP_GROWTH_PERIODS,seasonal association with crop growth periods,seasonal association with crop growth periods,1
SEASONAL_AVAILABILITY,seasonal availability,seasonal availability,3
SECOND_PLANTING_STUNTS_GROWTH,second planting stunts growth,second planting stunts growth,1
SEED_BEARING_LETTUCE_RETAINS_SEEDS_FOR,seed bearing lettuce retains seeds for,seed bearing lettuce retains seeds for,1
SEED_CHARACTERISTIC,seed characteristic,seed characteristic,3
SEED_HARVESTING_METHOD,seed harvesting method,seed harvesting method,1
SEED_LENGTH_COMPARISON,seed length comparison,seed length comparison,1
SEED_PRODUCTION_PREREQUISITE,seed production prerequisite,seed production prerequisite,3
SEED_RETAINS_GERMINATIVE_CAPACITY_FOR,seed retains germinative capacity for,seed retains germinative capacity for,1
SEED_SOURCES,seed sources,seed sources,1
SELECTED_AFTER_PRUNING,selected after pruning,selected after pruning,1
SELECTED_BASED_ON_SHAPE,selected based on shape,selected based on shape,1
SELECTED_FOR_CONSUMPTION,selected for consumption,selected for consumption,1
SELECTED_FROM,selected from,selected from,1
SENSITIVE_TO_FROST,sensitive to frost,sensitive to frost,1
SENT_TO_MARKET_AT,sent to market at,sent to market at,1
SEPARATED_BY,separated by,separated by,1
SERVES_AS,serves as,serves as,1
SET_SEED_IN,set seed in,set seed in,1
SHADE PROVIDED_BY,shade provided by,shade provided by,1
SHAPED_BY,shaped by,shaped by,1
SHOULD_NOT_BE_OVER_WATERED,should not be over watered,should not be over watered,1
SIMILAR_TO,similar to,similar to,2
SLIDE_AGAINST,slide against,slide against,1
SLOPED_TO_SOUTH,sloped to south,sloped to south,1
SLOPES_TOWARDS_DIRECTION_OF,slopes towards direction,slopes towards direction,1
SOIL_CONDITION,soil condition,soil condition,1
SOIL_CONDITION_CHOSEN_FOR_PLANTING,soil condition chosen for planting,soil condition chosen for planting,1
SOIL_CONDITION_IMPACTS_PLANT,soil condition impacts plant,soil condition impacts plant,1
SOIL_IMPROVED_BY_PLOUGHING,soil improved by ploughing,soil improved by ploughing,1
SOIL_IMPROVED_WITH,soil improved with,soil improved with,1
SOIL_REQUIREMENT_CONDITION,soil requirement condition,soil requirement condition,1
SOIL_TYPE_AFFECTED_BY,soil type affected by,soil type affected by,1
SOIL_TYPE_ASSOCIATED_WITH_CROP,soil type associated with crop,soil type associated with crop,1
SOIL_TYPE_FOR_CROP,soil type for crop,soil type for crop,2
SOIL_TYPE_IMPACT_ON_CROP,soil type impact on crop,soil type impact on crop,1
SOIL_TYPE_RELATIONSHIP,soil type relationship,soil type relationship,2
SOLD_AT_SAME_TIME_AS,sold at same time as,sold at same time as,1
SOWED_AT_DATE_FOR_PRODUCTION,sowed at date for production,sowed at date for production,1
SOWED_IN,sowed in,sowed in,2
SOWED_ON,sowed on,sowed on,1
SOWING_DATE,sowing date,sowing date,1
SOWN,sown,sown,1
SOWN_AT,sown at,sown at,2
SOWN_AT_TIME_OF_YEAR,sown at time year,sown at time year,1
SOWN_FOR AUTUMN_HARVEST,sown for autumn harvest,sown for autumn harvest,1
SOWN_IN,sown in,sown in,12
SOWN_IN_DECEMBER,sown in december,sown in december,1
SOWN_IN_GROUND_BEFORE_DATE,sown in ground before date,sown in ground before date,2
SOWN_IN_MONTH,sown in month,sown in month,1
SOWN_IN_MONTHS,sown in months,sown in months,1
SOWN_IN_SEASON_OF,sown in season,sown in season,1
SOWN_IN_SOIL_LAYER,sown in soil layer,sown in soil layer,1
SOWN_ON,sown on,sown on,1
SOWN_WITH,sown with,sown with,1
SPACED-apart,spaced apart,spaced apart,1
SPACED_APART,spaced apart,spaced apart,1
SPACED_AT,spaced at,spaced at,1
SPACED_BY_DISTANCE,spaced by distance,spaced by distance,1
SPACED_WITH,spaced with,spaced with,1
SPACED_WITHIN,spaced within,spaced within,1
SPACING_DISTANCE,spacing distance,spacing distance,1
SPECIFIC_TO_REGION,specific to region,specific to region,1
SPLIT_INTO,split into,split into,1
SPREAD_ON_THE_BED,spread on bed,spread on bed,1
SPREAD_OVER,spread over,spread over,1
SPRING_ASSOCIATED_EVENTS,spring associated events,spring associated events,1
SPRING_CHERVIL_CULTIVATED_WITH,spring chervil cultivated with,spring chervil cultivated with,1
SPRINKLED_WITH,sprinkled with,sprinkled with,1
SPROUTED_AFTER_DAYS,sprouted after days,sprouted after days,1
SPROUTS_FROM,sprouts from,sprouts from,1
SPROUTS_IN,sprouts in,sprouts in,1
STAKES_USED_TO_SUPPORT_STRUCTURES_IN_MARSHY_AREA,stakes used to support structures in marshy area,stakes used to support structures in marshy area,1
STARTS_PRODUCING_AFTER,starts producing after,starts producing after,1
STEAM_CONTAINS_SOMETHING_HARMFUL,steam contains something harmful,steam contains something harmful,1
STIRRED_BY,stirred by,stirred by,1
STONED_WITH,stoned with,stoned with,1
STORED_IN,stored in,stored in,5
STORED_OVER_WINTER,stored over winter,stored over winter,1
STRAW_MAT_USED_TO_PROTECT,straw mat used to protect,straw mat used to protect,1
STRAW_PLUGS_ARE_USED_WITH_PEAS,straw plugs are used with peas,straw plugs are used with peas,1
STRENGTHENED_OVER,strengthened over,strengthened over,1
STRUCTURE_LOCATION,structure location,structure location,1
SUBJECT_TO,subject to,subject to,1
SUFFERED_FROM_CONDITION,suffered from condition,suffered from condition,1
SUMMER_CROP,summer crop,summer crop,1
SUPERIOR_TO,superior to,superior to,2
SUPPORTED_BY,supported by,supported by,3
SUPPORTED_BY_TOOLS_AND_EQUIPMENT,supported by tools and equipment,supported by tools and equipment,1
SURROUNDED_BY,surrounded by,surrounded by,1
TAKES_TIME_TO_BECOME_FERTILE_AND_EASY_TO_CULTIVATE,takes time to become fertile and easy to cultivate,takes time to become fertile and easy to cultivate,1
TEMPORAL_RELATIONSHIP,temporal relationship,temporal relationship,2
THINNING_METHOD,thinning method,thinning method,1
TIED_TO,tied to,tied to,1
TIME_OF_HARVESTING_RELATIONSHIP,time harvesting relationship,time harvesting relationship,3
TIME_OF_PLANTING,time planting,time planting,1
TIME_OF_TRANSPLANT,time transplant,time transplant,1
TIME_PERIOD_ASSOCIATED_WITH,time period associated with,time period associated with,2
TIME_PERIOD_ASSOCIATION,time period association,time period association,1
TOOL_USED_FOR_PLANTING,tool used for planting,tool used for planting,1
TOOL_USED_FOR_THINNING,tool used for thinning,tool used for thinning,1
TOPPED_DURING,topped during,topped during,1
TOPPED_OFF,topped off,topped off,1
TRANSFERRED_TO,transferred to,transferred to,1
TRANSLANTED_TWICE,translanted twice,translanted twice,1
TRANSPLANTED_AFTER,transplanted after,transplanted after,1
TRANSPLANTED_INTO,transplanted into,transplanted into,2
TRANSPLANTED_TO,transplanted to,transplanted to,2
TRANSPLANTED_UNDER,transplanted under,transplanted under,1
TRANSPLANTED_WITH_SEEDLING,transplanted with seedling,transplanted with seedling,1
TRANSPLANTED_WITH_TOOL,transplanted with tool,transplanted with tool,1
TRANSPLANTING_PRACTICE,transplanting practice,transplanting practice,1
TRANSPORTED_BY,transported by,transported by,1
TRANSPORTED_OR_PLANTED_IN,transported or planted in,transported or planted in,1
TREATED_UNDER_CONDITIONS,treated under conditions,treated under conditions,1
TREATED_WITH,treated with,treated with,20
TREATED_WITH_IRRIGATION_METHOD,treated with irrigation method,treated with irrigation method,1
TREATED_WITH_POTTING_SOIL,treated with potting soil,treated with potting soil,1
TREATED_WITH_PROTECTION_FROM,treated with protection from,treated with protection from,1
TREATED_WITH_RELATIONSHIP,treated with relationship,treated with relationship,3
TREATED_WITH_THERMOSIPHON_DEVICE,treated with thermosiphon device,treated with thermosiphon device,1
TREATED_WITH_WATER_TYPE,treated with water type,treated with water type,1
TRENCH_BEDDED_WITH,trench bedded with,trench bedded with,1
TRIGGERED_IN_CONDITIONS,triggered in conditions,triggered in conditions,1
TURNED_OVER,turned over,turned over,1
TURNS_THE,turns,turns,1
UNAFFECTED_BY,unaffected by,unaffected by,1
UNDERGOES_PROCESS,undergoes process,undergoes process,1
UNSUITABLE_FOR_GROWING,unsuitable for growing,unsuitable for growing,1
URINE_AFFECTS,urine affects,urine affects,1
USED_AS,used as,used as,1
USED_AS_CONDIMENT_IN,used as condiment in,used as condiment in,1
USED_AS_EQUIPMENT_IN_CULTIVATION,used as equipment in cultivation,used as equipment in cultivation,1
USED_AS_FERTILIZER,used as fertilizer,used as fertilizer,2
USED_AS_MATERIAL_FOR,used as material for,used as material for,1
USED_BEFORE,used before,used before,1
USED_BY,used by,used by,6
USED_DURING,used during,used during,1
USED_FOR,used for,used for,10
USED_FOR_BEATING,used for beating,used for beating,1
USED_FOR_COOKING,used for cooking,used for cooking,1
USED_FOR_CUTTING,used for cutting,used for cutting,1
USED_FOR_PLANTING,used for planting,used for planting,1
USED_FOR_TRANSPORTATION,used for transportation,used for transportation,1
USED_FOR_TYING,used for tying,used for tying,1
USED_FOR_WATERING,used for watering,used for watering,2
USED_IN,used in,used in,9
USED_INSTEAD_OF,used instead,used instead,2
USED_IN_CONJUNCTION_WITH,used in conjunction with,used in conjunction with,9
USED_IN_CONSTRUCTION_OF,used in construction,used in construction,1
USED_IN_EQUIPMENT,used in equipment,used in equipment,2
USED_IN_GROWTH_OF,used in growth,used in growth,1
USED_IN_LAYER,used in layer,used in layer,1
USED_IN_METHOD,used in method,used in method,1
USED_IN_PLANTING,used in planting,used in planting,1
USED_IN_PRACTICE,used in practice,used in practice,1
USED_IN_PROCESS,used in process,used in process,2
USED_IN_SPECIFIC_AGRICULTURAL_PRACTICE,used in specific agricultural practice,used in specific agricultural practice,1
USED_ON,used on,used on,2
USED_TO_GROW,used to grow,used to grow,1
USED_TO_LOAD,used to load,used to load,2
USED_TO_PLANT_IN_CONVEX_LAYER_OF_MANURE,used to plant in convex layer manure,used to plant in convex layer manure,2
USED_TO_PREVENT,used to prevent,used to prevent,2
USED_TO_SEW,used to sew,used to sew,1
USED_TO_WATER,used to water,used to water,1
USED_WITH,used with,used with,19
USED_WITH_PRACTICE,used with practice,used with practice,1
USEFULNESS_OF,usefulness,usefulness,1
USES,uses,uses,2
USES_AS_FERTILIZER,uses as fertilizer,uses as fertilizer,1
USES_DEVICE_FOR_HEATING,uses device for heating,uses device for heating,1
USES_EQUIPMENT,uses equipment,uses equipment,2
USES_FOR_WORK,uses for work,uses for work,1
USES_INPUT_FOR_CARE,uses input for care,uses input for care,1
USES_MANURE_IN,uses manure in,uses manure in,1
USES_TO_MAKE_MULCH,uses to make mulch,uses to make mulch,3
USES_TO_PERFORM_ACTION,uses to perform action,uses to perform action,1
USES_TO_REMOVE,uses to remove,uses to remove,1
USES_WATERING_METHOD,uses watering method,uses watering method,1
USE_EQUIPMENT_FOR_CROP_MANAGEMENT,use equipment for crop management,use equipment for crop management,1
VALUED_MORE_FOR,valued more for,valued more for,1
VARIES_BY,varies by,varies by,1
VARIETY_OF,variety,variety,1
WAITED_UNTIL_PICKING_DATE,waited until picking date,waited until picking date,1
WARMED_BY,warmed by,warmed by,1
WATERCRESS_SORREL_RELATED_TO,watercress sorrel related to,watercress sorrel related to,1
WATERED_AFTER_PLANTING,watered after planting,watered after planting,1
WATERED_AGAINST,watered against,watered against,1
WATERED_BEFORE_PLANTING,watered before planting,watered before planting,1
WATERED_BY,watered by,watered by,3
WATERED_DURING,watered during,watered during,1
WATERED_IN,watered in,watered in,3
WATERED_IN_LAYERS,watered in layers,watered in layers,1
WATERED_IN_TIME_FRAME,watered in time frame,watered in time frame,2
WATERED_MORE_OFTEN_THAN,watered more often than,watered more often than,1
WATERED_ON,watered on,watered on,1
WATERED_REGULARLY,watered regularly,watered regularly,2
WATERED_WITH,watered with,watered with,4
WATERED_WITH_COLD_WATER_FROM_WELLS,watered with cold water from wells,watered with cold water from wells,1
WATERING_ESSENTIAL_FOR_VEGETABLE_GROWTH,watering essential for vegetable growth,watering essential for vegetable growth,1
WATERING_NECESSITY_DETERMINED_BY,watering necessity determined by,watering necessity determined by,1
WATERING_PRACTICE,watering practice,watering practice,1
WATERING_SCHEDULED,watering scheduled,watering scheduled,1
WATER_AMOUNT_APPLIED_AT_AREA_ON_DATE,water amount applied at area on date,water amount applied at area on date,1
WEATHER_IMPACT,weather impact,weather impact,1
WEATHER_IMPACTS_CROPS,weather impacts crops,weather impacts crops,1
WEDGES_HOLD_FRAMES_OPEN_DURING_DAY,wedges hold frames open during day,wedges hold frames open during day,1
WEDGES_REMOVED_TO_REMOVE_FRAMES_AT_NIGHT,wedges removed to remove frames at night,wedges removed to remove frames at night,1
WHITE_ASPARAGUS_CROP_OF_GREEN_ASPARAGUS,white asparagus crop green asparagus,white asparagus crop green asparagus,1
WINTER_CHERVIL_HARVESTED_IN,winter chervil harvested in,winter chervil harvested in,1
WINTER_CHERVIL_SOWN_IN,winter chervil sown in,winter chervil sown in,1
WINTER_CHERVIL_WITHSTANDS,winter chervil withstands,winter chervil withstands,1
WOODEN_WHEELBARROW_EQUIPPED_WITH_HANDLEBARS_AND_CROSSBARS_TO_TRANSPORT_MATERIALS,wooden wheelbarrow equipped with handlebars and crossbars to transport materials,wooden wheelbarrow equipped with handlebars and crossbars to transport materials,1
WORKED_WITH,worked with,worked with,1
WORKS_AS,works as,works as,1
YIELDS_IN,yields in,yields in,1
